ID,Unit Code,Unit Name,Credit Points,EFTSL,Unit Fee
36,FINA4482, Advanced Corporate Finance,6,0.125,"$1,813 "
37,ACCT5521, Advanced Corporate Financial Accounting,6,0.125,"$1,813 "
38,IMEDM402, Advanced Course in Rasch Measurement Theory_x000d_,6,0.125,$494 
39,LAWS5501, Advanced Criminal Law and Procedure,6,0.125,"$1,813 "
40,EURO4003, Advanced Cultural Studies,6,0.125,"$1,813 "
41,EDUC5710," Advanced Curriculum, Pedagogy and Assessment",6,0.125,$494 
42,STAT3401, Advanced Data Analysis,6,0.125,$494 
43,ARCT3040, Advanced Design Thinking,6,0.125,$994 
44,ECON4408, Advanced Development Economics,6,0.125,"$1,813 "
45,ECON4503, Advanced Economic Analysis,6,0.125,"$1,813 "
46,GENG4407, Advanced Engineering Mathematics,6,0.125,$494 
47,TRNS5106, Advanced English Language and Culture 1,6,0.125,$494 
48,TRNS5107, Advanced English Language and Culture 2,6,0.125,$494 
49,MUSC3543, Advanced Ensemble,6,0.125,$994 
50,SSEH4644, Advanced Exercise Physiology,6,0.125,"$1,813 "
51,SSEH4489, Advanced Exercise Rehabilitation,6,0.125,"$1,813 "
52,GENE5001, Advanced Genomics Techniques,6,0.125,$994 
53,GEOG3301, Advanced GIS and Remote Sensing,6,0.125,$994 
54,PHYL5610, Advanced Hearing Aids and Rehabilitation Part 1,6,0.125,$994 
55,PHYL5617, Advanced Hearing Aids and Rehabilitation Part 2,6,0.125,$994 
56,FINA4481, Advanced Investments,6,0.125,"$1,813 "
57,PATH5162, Advanced Laboratory Haematology,6,0.125,$994 
58,ENVT4401, Advanced Land Use and Management,6,0.125,$994 
59,EURO4002, Advanced Language Skills,6,0.125,"$1,813 "
60,LAWS5509, Advanced Legal Research (by Invitation) Part 1,6,0.125,"$1,813 "
61,LAWS5510, Advanced Legal Research (by Invitation) Part 2,6,0.125,"$1,813 "
62,LAWS6979, Advanced Legal Theory and Research Methodology,6,0.125,"$1,813 "
63,ENGL3801, Advanced Literary Theory,6,0.125,$494 
64,PHIL3007, Advanced Logic,6,0.125,"$1,813 "
65,ECON5508, Advanced Macroeconomic Theory,6,0.125,"$1,813 "
66,ARTF3050, Advanced Major Project,12,0.25,"$1,988 "
67,MATH2501, Advanced Mathematical Methods,6,0.125,$494 
68,MATH4403, Advanced Mathematics 1,6,0.125,$494 
69,MATH3023, Advanced Mathematics Applications,6,0.125,$494 
70,PHIL4104, Advanced Metaphysics,6,0.125,"$1,813 "
71,ARCY4104, Advanced Methods in Archaeology,6,0.125,"$1,813 "
72,ECON5509, Advanced Microeconomic Theory,6,0.125,"$1,813 "
73,PATH5152, Advanced Molecular Pathology,6,0.125,$994 
74,PHIL4101, Advanced Moral Philosophy,6,0.125,"$1,813 "
75,NEUR3301, Advanced Neuroscience 1,6,0.125,$994 
76,NEUR3302, Advanced Neuroscience 2,6,0.125,$994 
77,GEOS5503, Advanced Petroleum Geoscience,6,0.125,$994 
78,SSEH5475, Advanced Psychology of Sport,6,0.125,"$1,813 "
79,ANTH4101, Advanced Qualitative Methods: Interviews and Focus Groups,6,0.125,"$1,813 "
80,ECON4504, Advanced Quantitative Economics,6,0.125,"$1,813 "
81,PSYC4418, Advanced Quantitative Methods in Psychology,6,0.125,$494 
82,PHYS3004, Advanced Quantum Mechanics,6,0.125,$994 
83,CHPR5501, Advanced Reaction Engineering and Catalysts,6,0.125,$994 
84,SWSP9901, Advanced Research Methods in Social Work Part 1,6,0.125,"$1,813 "
85,SWSP9907, Advanced Research Methods in Social Work Part 2,6,0.125,"$1,813 "
86,EURO4101, Advanced Research Skills,6,0.125,"$1,813 "
87,APHB5500, Advanced Research Techniques,6,0.125,$994 
88,IMED5831, Advanced Simulation in Health Professional Education,6,0.125,"$1,413 "
89,ENVT5566, Advanced Spatial and Environmental Modelling,6,0.125,$994 
90,SWSP5615, Advanced Statutory Practice: Mental Health,6,0.125,"$1,813 "
91,GEOSM501, Advanced Structural Geology,3,0.063,$497 
92,GEOSM503, Advanced Structural Geology Field Excursion,3,0.063,$497 
93,BIOC4001, Advanced Studies in Biochemistry and Molecular Biology,6,0.125,$994 
94,CHEM4001, Advanced Studies in Chemistry,6,0.125,$994 
95,GENE4001, Advanced Studies in Genetics and Genomics,6,0.125,$994 
96,SWSP9902, Advanced Studies in Social Work Part 1,6,0.125,"$1,813 "
97,SWSP9908, Advanced Studies in Social Work Part 2,6,0.125,"$1,813 "
98,VISA3050, Advanced Studio,6,0.125,$994 
99,MSCI4006, Advanced Techniques in Molecular Sciences,6,0.125,$994 
100,SWSP9903, Advanced Theory and Practice in Social Work Part 1,6,0.125,"$1,813 "
101,SWSP9909, Advanced Theory and Practice in Social Work Part 2,6,0.125,"$1,813 "
102,SOCS4101, Advanced Theory in Social Sciences,6,0.125,"$1,813 "
103,CHPR4404, Advanced Thermodynamics,6,0.125,$994 
104,BMEG5001, Advanced Topics in Biomedical Engineering,6,0.125,$994 
105,EMPL5450, Advanced Topics in Employment Relations,6,0.125,"$1,813 "
106,LING4104, Advanced Topics in Linguistics,6,0.125,$494 
107,MGMT5616, Advanced Topics in Management,6,0.125,"$1,813 "
108,LAWS5189, Advanced Topics in Private Law,6,0.125,"$1,813 "
109,MATH4033, Advanced Topics in Pure Mathematics,6,0.125,$494 
110,EURO4004, Advanced Writing Skills,6,0.125,"$1,813 "
111,MKTG2238, Advertising and Branding,6,0.125,"$1,813 "
112,HIST3005, African American History: Freedom Struggles from Plantation to Prison and Beyond,6,0.125,"$1,813 "
113,CLAN3012, After Antiquity: Receptions of Greco-Roman Culture from Augustine to Atwood,6,0.125,$494 
114,CITS3403, Agile Web Development,6,0.125,$994 
115,CITS5505, Agile Web Development,6,0.125,$994 
116,AGRI5402, Agribusiness,6,0.125,"$1,813 "
117,ECON3300, Agricultural Economics and Marketing,6,0.125,"$1,813 "
118,AGRI2298, Agricultural Exchange to Indonesia,24,0.5,"$1,975 "
119,ECON5002, Agriculture and Economic Development,6,0.125,"$1,813 "
120,CLAN3004, Alexander The Great,6,0.125,"$1,813 "
121,MATH4031, Algebra,6,0.125,$494 
122,MATH3031, Algebraic Structures and Symmetry,6,0.125,$494 
123,CITS3001," Algorithms, Agents and Artificial Intelligence",6,0.125,$994 
124,PODI5303, Anaesthesia and General Surgery,6,0.125,$994 
125,MECH5502, Analysis and Design of Machine Components,6,0.125,$994 
126,ENVT4402, Analysis for Environmental Management,6,0.125,$994 
127,STAT2401, Analysis of Experiments,6,0.125,$494 
128,STAT2402, Analysis of Observations,6,0.125,$494 
129,PATH5131, Anatomical Pathology,6,0.125,$994 
130,PATH5135, Anatomical Pathology Practicum,6,0.125,$994 
131,ANHB5451, Anatomy and Biology for Medical Physicists,6,0.125,$994 
132,CLAN4103, Ancient Greek Language and Literature,6,0.125,$494 
133,ANIM2220, Animal Diversity,6,0.125,$994 
134,ANIM3361, Animal Ecology,6,0.125,$994 
135,ANIM2207, Animal Form and Function,6,0.125,$994 
136,AGRI5503, Animal Production Systems,6,0.125,$494 
137,MICR5833, Antimicrobial Agents,6,0.125,$994 
138,BMED3002, Application of Humanities to Health Care,6,0.125,"$1,813 "
139,ECON4413, Applied Advanced Econometrics,6,0.125,"$1,813 "
140,ECON5513, Applied Advanced Econometrics,6,0.125,"$1,813 "
141,SSEH1102, Applied Anatomy and Athletic Performance,6,0.125,"$1,813 "
142,SCIEM501, Applied Benefit: Cost Analysis,6,0.125,$994 
143,DENT5651, Applied Dental Science,6,0.125,"$1,413 "
144,MECH4429, Applied Engineering Thermodynamics,6,0.125,$994 
145,FINA3326, Applied Financial Management,6,0.125,"$1,813 "
146,CIVL4401, Applied Geomechanics,6,0.125,$994 
147,SVLG4006, Applied Global Citizenship,6,0.125,"$1,813 "
148,MGMT3304, Applied International Business Strategy,6,0.125,"$1,813 "
149,ECON3303, Applied Macroeconomics,6,0.125,"$1,813 "
150,MKTG5465, Applied Marketing Research,6,0.125,"$1,813 "
151,ECON3302, Applied Microeconomics,6,0.125,"$1,813 "
152,GEOS5510, Applied Palynology,6,0.125,$994 
153,PHCY5603, Applied Pharmacotherapy,6,0.125,$994 
154,PHYS1021, Applied Physics A,6,0.125,$994 
155,STAT4064, Applied Predictive Modelling,6,0.125,$494 
156,BUSN5100, Applied Professional Business Communications,6,0.125,"$1,813 "
157,MGMT5660, Applied Project Management,6,0.125,"$1,813 "
158,PSYC5530, Applied Research Methods,6,0.125,"$1,813 "
159,SWSP5409, Applied Social Work Practices,6,0.125,"$1,813 "
160,STAT4067, Applied Statistics and Data Visualisation,6,0.125,$494 
161,STAT3406, Applied Statistics and Data Visualisation,6,0.125,$494 
162,MING5501, Applied Structural Geology,6,0.125,$994 
163,EDUC5631, Approaches to Research,6,0.125,$494 
164,SVLG2008, Approaches to Wicked Problems,6,0.125,"$1,813 "
165,SVLG3008, Approaches to Wicked Problems,6,0.125,"$1,813 "
166,ENVT5575, Aquaculture and the Blue Economy,6,0.125,$494 
167,ENVT5576, Aquatic Ecology,6,0.125,$994 
168,ARCY4102, Archaeologists at Work,6,0.125,"$1,813 "
169,ARCY2006, Archaeology of Death,6,0.125,"$1,813 "
170,ARCT4461, Architectural Practice,6,0.125,$994 
171,ARCT5590, Architectural Studies,6,0.125,$994 
172,ARCT4430," Architectural Technology, Structures and Services",6,0.125,$994 
173,ARCT5101, Architecture Studio,12,0.25,"$1,988 "
174,ARCT1001, Architecture Studio 1,6,0.125,$994 
175,ARCT2000, Architecture Studio 2,12,0.25,"$1,988 "
176,ARCT5102, Architecture Studio 2,12,0.25,"$1,988 "
177,ARCT3000, Architecture Studio 3,12,0.25,"$1,988 "
178,ARCT3001, Architecture Studio 4,12,0.25,"$1,988 "
179,ARTF2041, Art in the Environment: Deep-Time Performance and Socially-Engaged Art,6,0.125,$994 
180,HART3330, Art Theory,6,0.125,$994 
181,ARCT1011," Art, Technology and Society",6,0.125,$994 
182,CITS4404, Artificial Intelligence and Adaptive Systems,6,0.125,$994 
183,ASIA1002, Asia from Colonial to Modern,6,0.125,"$1,813 "
184,ECON2106, Asia in the World Economy,6,0.125,"$1,813 "
185,ASIA1001, Asian Societies and Cultures,6,0.125,"$1,813 "
186,EDUC5010, Assessing and Interpreting Child and Adolescent Mental Health and Wellbeing,6,0.125,$494 
187,ENVT4461, Assessing Environmental Quality,6,0.125,$994 
188,EDUC5513, Assessment and Feedback for Learning,6,0.125,$494 
189,PSYC5531, Assessment and Intervention - Adult Complex Disorders,6,0.125,"$1,813 "
190,PSYC5674, Assessment and Intervention - Childhood Disorders,6,0.125,"$1,813 "
191,PSYC5675, Assessment and Intervention - Emotional Disorders,6,0.125,"$1,813 "
192,EDUC5636, Assessment and Measurement,6,0.125,$494 
193,PSYC5514, Assessment and Selection,6,0.125,"$1,813 "
194,PSYC5526, Assessment of Fetal Alcohol Spectrum Disorder (FASD),6,0.125,"$1,813 "
195,PHYS3003, Astrophysics and Space Science,6,0.125,$994 
196,PHYL5501, Audiological Instrumentation,6,0.125,$994 
197,PHYL5613, Audiology Practice Management,6,0.125,$994 
198,PHYL5616, Audiology Research Project Part 1,6,0.125,$994 
199,PHYL5614, Audiology Research Project Part 2,6,0.125,$994 
200,ACCT5701, Audit and Assurance,6,0.125,"$1,813 "
201,ACCT3322, Auditing,6,0.125,"$1,813 "
202,KOREM203, Australia-Korea Relations,2,0.042,$604 
203,HART3666, Australian and Aboriginal Art,6,0.125,$994 
204,ARCY3011, Australian Archaeology,6,0.125,"$1,813 "
205,EMPL2202, Australian Employment Relations,6,0.125,"$1,813 "
206,LAWS5176, Australian Financial Transactions Law and Regulation,6,0.125,"$1,813 "
207,LACH4421, Australian Landscapes,6,0.125,$994 
208,ENGL4107, Australian Literary Studies,6,0.125,$494 
209,ENGL3300, Australian Literature: Classic and Popular,6,0.125,$494 
210,LAWS6589, Australian Oil and Gas Law,6,0.125,"$1,813 "
211,LAWS5589, Australian Oil and Gas Law,6,0.125,"$1,813 "
212,PLNT3306, Australian Vegetation,6,0.125,$994 
213,GRMN3814, Australian-Japanese-German Traditions and Practices,6,0.125,$494 
214,GRMN2814, Australian-Japanese-German Traditions and Practices,6,0.125,$494 
215,GRMN4814, Australian-Japanese-German Traditions and Practices,6,0.125,$494 
216,PSYC5522, Autism Diagnostic Observation Schedule-2nd Edition (ADOS-2) Training,6,0.125,"$1,813 "
217,MICR3330, Bacteria and Bacterial Disease,6,0.125,$994 
218,FINA3304, Banking: Theory and Practice,6,0.125,"$1,813 "
219,LAWS5233," Base Erosion, Profit Shifting and Transfer Pricing",6,0.125,"$1,813 "
220,PHYL5502, Basic Clinical Audiology Part 1,6,0.125,$994 
221,PHYL5512, Basic Clinical Audiology Part 2,6,0.125,$994 
222,DENT5649, Basic Dental Science,6,0.125,"$1,413 "
223,EART3344, Basin Analysis,6,0.125,$994 
224,GEOS4418, Basin Analysis Techniques,6,0.125,$994 
225,STAT4066, Bayesian Computing and Statistics,6,0.125,$494 
226,MGMT5523, Becoming a Leader: Perspectives on Leadership Development,6,0.125,"$1,813 "
227,ANIM3365, Behavioural Ecology,6,0.125,$994 
228,ANTH1001," Being Human: Culture, Identity and Society",6,0.125,"$1,813 "
229,GEND1901, Beyond 'Gender Wars',6,0.125,"$1,813 "
230,MKTG5504, Big Data in Marketing,6,0.125,"$1,813 "
231,BIOL5301," Big Data, Modelling and Meta-analysis in Biology, Conservation and the Environment",6,0.125,$994 
232,BLDG5000, BIM Authors,6,0.125,$994 
233,BLDG5001, BIM Authors Online,6,0.125,$994 
234,BLDG5100, BIM Dimensions,6,0.125,$994 
235,BLDG5101, BIM Dimensions Online,6,0.125,$994 
236,BLDG5050, BIM Dynamo,6,0.125,$994 
237,BLDG5051, BIM Dynamo Online,6,0.125,$994 
238,BLDG5700, BIM Manager,6,0.125,$994 
239,BLDG5701, BIM Manager Online,6,0.125,$994 
240,BLDG5500, BIM Network Teams,6,0.125,$994 
241,BLDG5501, BIM Network Teams Online,6,0.125,$994 
242,BLDG5300, BIM Sustainability,6,0.125,$994 
243,BLDG5301, BIM Sustainability Online,6,0.125,$994 
244,ARCT5518, BIM Workflows,6,0.125,$994 
245,ARTF2030, BioArt,6,0.125,$994 
246,ARCT5885, Bio-Based Materials in Global Settings,6,0.125,$994 
247,BIOC2002, Biochemical Regulation of Cell Function,6,0.125,$994 
248,MSCI5560, Biochemistry and Molecular Biology Literature Review and Research Proposal,6,0.125,$994 
249,BIOC2001, Biochemistry and Molecular Biology of the Cell,6,0.125,$994 
250,MSCI5561, Biochemistry and Molecular Biology Research Project Part 1,6,0.125,$994 
251,MSCI5562, Biochemistry and Molecular Biology Research Project Part 2,6,0.125,$994 
252,MSCI5563, Biochemistry and Molecular Biology Research Project Part 3,6,0.125,$994 
253,BMED5001, Biodesign Medical Technology Innovation,6,0.125,$994 
254,ENVT5310, Biodiversity on Country,6,0.125,$994 
255,SSEH3366," Bioenergetics in Exercise, Nutrition and Energy Balance",6,0.125,$994 
256,PHIL2001, Bioethics,6,0.125,"$1,813 "
257,SCIE4002, Bioinformatics and Data Analysis for Genomics,6,0.125,$994 
258,ANHB3321, Biological Anthropology: Genes and Society,6,0.125,$994 
259,ANHB2215, Biological Anthropology: Human Adaptation and Variation,6,0.125,$994 
260,APHB5519, Biological Art Integration Studies I,6,0.125,$994 
261,APHB5518, Biological Art Integration Studies II,6,0.125,$994 
262,CHEM1004, Biological Chemistry,6,0.125,$994 
263,BMEG4002, Biomaterials,6,0.125,$994 
264,SSEH3355, Biomechanical Principles,6,0.125,"$1,813 "
265,SSEH2250, Biomechanics in Sport and Exercise,6,0.125,"$1,813 "
266,ENSC3023, Biomedical Engineering,6,0.125,$994 
267,BMEG5551, Biomedical Engineering Design Project 1,6,0.125,$994 
268,BMEG5552, Biomedical Engineering Design Project 2,6,0.125,$994 
269,BMEG4001, Biomedical Instrumentation,6,0.125,$994 
270,PUBH4401, Biostatistics I,6,0.125,$494 
271,PUBH5769, Biostatistics II,6,0.125,$494 
272,GEOS4419, Biostratigraphy,6,0.125,$994 
273,ENVT5001, Biotechnology in the Natural Environment,6,0.125,$994 
274,BTEC5507, Biotechnology Literature Review and Research Proposal,6,0.125,$994 
275,BTEC5501, Biotechnology Masters Research Dissertation Part 1,6,0.125,$994 
276,BTEC5502, Biotechnology Masters Research Dissertation Part 2,6,0.125,$994 
277,BTEC5503, Biotechnology Masters Research Dissertation Part 3,6,0.125,$994 
278,BTEC5504, Biotechnology Masters Research Dissertation Part 4,6,0.125,$994 
279,BTEC5505, Biotechnology Masters Research Presentation,6,0.125,$994 
280,BTEC5506, Biotechnology Masters Research Project Development,6,0.125,$994 
281,BTEC5508, Biotechnology Research Project Part 1,6,0.125,$994 
282,BTEC5509, Biotechnology Research Project Part 2,6,0.125,$994 
283,BTEC5510, Biotechnology Research Project Part 3,6,0.125,$994 
284,PATH3308, Biotherapeutics and Regenerative Medicine,6,0.125,$994 
285,LAWS2220," Birth, Life, Death and the Law",6,0.125,"$1,813 "
286,BUSN5001, Blockchain and Distributed Ledger Technologies in Business,6,0.125,"$1,813 "
287,IMED2002, Blood and Drugs,6,0.125,"$1,413 "
288,IMED2001, Body Defences,6,0.125,"$1,413 "
289,IMED3001, Body Systems and Disease I,6,0.125,"$1,413 "
290,IMED3002, Body Systems and Disease II,6,0.125,"$1,413 "
291,IMED3003, Body Systems and Disease III,6,0.125,"$1,413 "
292,IMED3004, Body Systems and Disease IV,6,0.125,"$1,413 "
293,INDG1160, Boodjar Moort Katitjin: Introduction to Indigenous Heritage and Knowledge,6,0.125,"$1,813 "
294,PHCYM401, Breastfeeding: A Foundation for Human Health 1,3,0.063,$497 
295,AGRI4410, Breeding and Biotechnology,6,0.125,$994 
296,BMED3003, Building the Bridge While Walking Over It: The Journey to Person Centred Health Care,6,0.125,"$1,813 "
297,FINA2207, Business Analysis and Valuation,6,0.125,"$1,813 "
298,BUSN5007, Business Analytics Industry Project,12,0.25,"$1,988 "
299,ECON3323, Business and the Environment,6,0.125,"$1,813 "
300,BUSN1104," Business Communication for Change, Influence and Impact",6,0.125,"$1,813 "
301,ECON2245, Business Economics,6,0.125,"$1,813 "
302,INMT5526, Business Intelligence,6,0.125,$994 
303,LAWS3308, Business Law in Practice,6,0.125,"$1,813 "
304,INMT5504, Business Process Management,6,0.125,$994 
305,ACCT1100, Business Reporting and Analysis,6,0.125,"$1,813 "
306,BUSN5506, Business Research Project,6,0.125,"$1,813 "
307,MKTG5406, Buyer Behaviour and Decision Making,6,0.125,"$1,813 "
308,FINA4491, Capital Markets Research,6,0.125,"$1,813 "
309,HART2207, Caravaggio and the Baroque,6,0.125,$994 
310,SSEH5643, Cardiac Rehabilitation,6,0.125,$994 
311,BMEG4003, Cardiovascular Biomechanics,6,0.125,$994 
312,HRMT5530, Career Development and Employability,6,0.125,"$1,813 "
313,FINA5525, Case Studies in Finance,6,0.125,"$1,813 "
314,ENVT4406, Catchment and River Processes,6,0.125,$994 
315,IMED1003, Cell Survival and Communication,6,0.125,$994 
316,ANHB3323," Cells, Tissues and Development",6,0.125,$994 
317,BIOC3005, Cellular Biochemistry,6,0.125,$994 
318,BUSN2102," Changing the World: Social Innovation, Finance and Enterprise",6,0.125,"$1,813 "
319,ACCT5705, Chartered Accountants Capstone,6,0.125,"$1,813 "
320,CHPR5551, Chemical Engineering Design Project 1,6,0.125,$994 
321,CHPR5552, Chemical Engineering Design Project 2,6,0.125,$994 
322,CHEM3002, Chemical Explorations,6,0.125,$994 
323,ENSC3006, Chemical Process Thermodynamics,6,0.125,$994 
324,CHEM3005, Chemical Spectroscopy and Structure,6,0.125,$994 
325,CHEM2003, Chemical Synthesis,6,0.125,$994 
326,CHEM1001, Chemistry - Properties and Energetics,6,0.125,$994 
327,CHEM1002, Chemistry - Structure and Reactivity,6,0.125,$994 
328,CHEM3006, Chemistry Beyond the Laboratory,6,0.125,$994 
329,CHEM3391, Chemistry Research Part 1,12,0.25,"$1,988 "
330,CHEM3392, Chemistry Research Part 2,12,0.25,"$1,988 "
331,PSYC5534, Child and Adolescent Clinical Psychology and Neuropsychology,6,0.125,"$1,813 "
332,EDUC5537, Child and Adolescent Development and Pedagogy,6,0.125,$494 
333,EDUC5639, Childhood and Adolescent Developmental Psychopathology,6,0.125,$494 
334,POLS5684, China and the World,6,0.125,"$1,813 "
335,CHIN1401, Chinese 1,6,0.125,$494 
336,CHIN3410, Chinese 10: Understanding Chinese Society,6,0.125,$494 
337,CHIN1402, Chinese 2,6,0.125,$494 
338,CHIN1403, Chinese 3,6,0.125,$494 
339,CHIN2403, Chinese 3,6,0.125,$494 
340,CHIN1001, Chinese 3A,6,0.125,$494 
341,CHIN2001, Chinese 3A,6,0.125,$494 
342,CHIN2404, Chinese 4,6,0.125,$494 
343,CHIN1404, Chinese 4,6,0.125,$494 
344,CHIN1405, Chinese 5,6,0.125,$494 
345,CHIN2405, Chinese 5,6,0.125,$494 
346,CHIN3405, Chinese 5,6,0.125,$494 
347,CHIN3406, Chinese 6,6,0.125,$494 
348,CHIN2406, Chinese 6,6,0.125,$494 
349,CHIN1406, Chinese 6,6,0.125,$494 
350,CHIN2407, Chinese 7,6,0.125,$494 
351,CHIN3407, Chinese 7,6,0.125,$494 
352,CHIN2408, Chinese 8,6,0.125,$494 
353,CHIN3408, Chinese 8,6,0.125,$494 
354,CHIN3409, Chinese 9: Understanding the Chinese State,6,0.125,$494 
355,SSEH5646, Chronic and Complex Conditions 1,6,0.125,$994 
356,SSEH5647, Chronic and Complex Conditions 2,6,0.125,"$1,813 "
357,ENGL4104, Cinema and Cultural Studies,6,0.125,"$1,813 "
358,ENGL2210, Cinema Classics,6,0.125,"$1,813 "
359,ARTF2021, Cinematic Spaces,6,0.125,$994 
360,ELEC4401, Circuits and Electronic Systems,6,0.125,$994 
361,ENSC3021, Circuits and Electronics,6,0.125,$994 
362,SCOM5309, Citizen Science,6,0.125,"$1,813 "
363,CIVL5551, Civil Engineering Design Project 1,6,0.125,$994 
364,CIVL5552, Civil Engineering Design Project 2,6,0.125,$994 
365,CIVL4402, Civil Hydraulics,6,0.125,$994 
366,HIST1001, Clash of Empires,6,0.125,"$1,813 "
367,PHYS1100, Classical and Frontier Physics,6,0.125,$994 
368,PHYS1003, Classical and Frontier Physics,6,0.125,$994 
369,EDUC5538, Classroom Management and Student Wellbeing,6,0.125,$494 
370,ANIM3306," Clean, Green and Ethical Animal Production",6,0.125,$994 
371,MKTG5578, Client Management,6,0.125,"$1,813 "
372,GEOG3308, Climate Change Adaptation and Mitigation,6,0.125,$994 
373,LAWS5521, Climate Change Law and Emissions Trading,6,0.125,"$1,813 "
374,GEOG1106, Climate Change: Environment and Society,6,0.125,$994 
375,ECON5511," Climate, Energy and Water Economics",6,0.125,"$1,813 "
376,PATH5121, Clinical Biochemistry,6,0.125,$994 
377,PATH5125, Clinical Biochemistry Practicum,6,0.125,$994 
378,ANHB5547, Clinical Dental Sleep Medicine,6,0.125,"$1,413 "
379,PATH5141, Clinical Immunology,6,0.125,$994 
380,PATH5145, Clinical Immunology Practicum,6,0.125,$994 
381,PATH5511, Clinical Laboratory Skills 1,6,0.125,$994 
382,PATH5514, Clinical Laboratory Skills 2,6,0.125,$994 
383,LAWS5872, Clinical Legal Education (Mediation),6,0.125,"$1,813 "
384,PATH5175, Clinical Microbiology Practicum,6,0.125,$994 
385,PSYC5533, Clinical Psychology and Health,6,0.125,"$1,813 "
386,IMED5804, Clinical Teaching and Supervision,6,0.125,$494 
387,CITS5503, Cloud Computing,6,0.125,$994 
388,GENG5501, Coastal and Offshore Engineering,6,0.125,$994 
389,ENVT3306, Coastal Conservation and Management,6,0.125,$994 
390,EART4415, Coastal Hazards and Adaptation,6,0.125,$994 
391,OCENM523, Coastal Ocean Observations,2,0.042,$331 
392,OCENM522, Coastal Physical Oceanography,2,0.042,$331 
393,EART2204, Coastal Processes,6,0.125,$994 
394,PSYC3315, Cognitive Psychology,6,0.125,"$1,813 "
395,PSYC2215, Cognitive Psychology,6,0.125,"$1,813 "
396,SCIE4001," Collecting, Analysing and Interpreting Big Data in Biology",6,0.125,$994 
397,CHPR5520, Combustion Science and Technology,6,0.125,$994 
398,LAWS5508, Commercial and Company Law,6,0.125,"$1,813 "
399,LAWS2207, Commercial Law,6,0.125,"$1,813 "
400,MGMT5639, Commercialisation Management Project,12,0.25,"$3,625 "
401,SCOM1101, Communicating Science,6,0.125,"$1,813 "
402,PUBH2216, Communication and Project Planning in Health,6,0.125,$994 
403,PACM1101, Communication in Practice,6,0.125,"$1,813 "
404,PACM2202, Communication in Practice,6,0.125,"$1,813 "
405,ELEC4402, Communications Systems,6,0.125,$994 
406,SSEH3339, Community and Worksite Health Promotion,6,0.125,$994 
407,LAWS2301, Company Law,6,0.125,"$1,813 "
408,LAWS6167, Comparative Law,6,0.125,"$1,813 "
409,LAWS5167, Comparative Legal Method,6,0.125,"$1,813 "
410,ANIM3320, Comparative Neurobiology,6,0.125,$994 
411,MATH3024, Complex Systems,6,0.125,$494 
412,DENT5341, Comprehensive Clinical Care 1,6,0.125,"$1,413 "
413,DENT5342, Comprehensive Clinical Care 2,6,0.125,"$1,413 "
414,DENT5443, Comprehensive Clinical Care 3,6,0.125,"$1,413 "
